Username,Comment
@growth7143, love you sir thanks for motivation again and again ️
@Redlex789,Total how many full length mock test you gave ?? And how many subject wise
@bavnitsingh23,Bhaiya roadmap for gate cse 2025 plz
@bigboiboigboy2713,"Hey Bhaiyya 
Im thinking aboutpreparing for gate DA .
Do you have any idea which IITS may have DA branch"
@anirudhverma8461,is One month enough for revision and practice? starting from Jan 1.
@anonymous00045,Hamre liye to gate ke motivation aap hi ho bahiya 
@amitsunkar9358,"Road map for"" GATE  CSE 2026"" support here "
@-warriors-,"Bhaiya I am preparing for gate from pw .. 
Apko Dak kar e gate k liya motivation milta ha or AP sa hi palaha maina gate k bara Mai Jana ... Thank you bhaiya "
@ashuTrgbhai,Sir i am in first year i know C language studied from raghav garg sir can o start dsa from coder army from lec 1 or should it have any prerequisite 
@omneeindustry,"Bhaiya mein ne B.A complete kiya hai with computer science subject (Under new education policy2023) with 7.9 CGPA kya mein GATE exam ke liye eligible ho plz reply bhiaya resolve my doute..... 
website par form fill up karte time B.A ka bhi option aata hai uss mein kya mein eligible ho??? GATE 2025 ke liye???"
@AnasKhan-zk1gw,"Bhai(sir), 
                 Ek video m.tech me subject choosing pr deepme means konsi branch aap ki thi usme aap ke kon-kon se subject the ( realeted to after gate cse) or kya-kya option ho sakte hai etc."
@joydipmukherjee7536,Great bhaiya Mai 2025 per dungi. Thanks 
@sdb7585,"Bhaiya, placement series kab start hogi ...?"
@anukritsrivastava8243,bhai 2025 gate ke liye video please
@Mukeshkumar-kf1ky,Happy dipawali bhaiya apko
@sushantbaviskar1401,Bhaiya coderarmy site pe course access nahi ho raha
@Omegle-Views,Bhai hmm virtual internship experience resume me likh skte hai
@iamalcohishan106,-
@PiyushMishra-wt1th,Bhaiya can a non cse student clear gate cse i am a mechanical student in tier 3 college
@chacharesarish581,Love You Bhaiyaa 
@officialshivaydv3150,"Rohit Bro, you have worked in UBER. Please make a video on how much salary you got, in hand, your savings, your expenditure. Please make a detail video "
@ashutoshtripathi4055,Bhaiya DSA ka next video kab ayega ... 
@anushkapakhare1248,I love your videos and blogs beczz your speaking tone is cute 
@AdityaKumar-cq5fp,"Bhaiya aapka jo dsa course hai  .
Bhaiya mai aapka course abhi se padha sakta hu."
@CHAUDHARY_PRAYAS,Bhaiya mere 6-7 subjects hue hai kya Karu abb coa DBMS cn aur algorithm reh gaya hai
@AdityaKumar-cq5fp,Bhaiya mai btech 1 st year mai hu
@vibhusharma2881,bhaiya GATE ME GENERAL APTITUDE ki preparation kaise start kare pleaaase ispe bhi guide kariye please bhaiya samaj ni aara .
@shambhavigupta1947,Bhaiya during  gate preparation coding me focus rakhna chahiye?
@ManiKantmishra-fi4vj,mai nimcet ki preparation karne wala hu
@afzal6918,Bhaiyya coder army ki DSA sheet kab resume hogi?
@iit7867,Bhiya voice quality is toooo poor
@taufikshekh4431,Bhaiya please improve ️ quality
@JMD_coding,Bhai ka video aa gy
@magan9200,5 rupee ki pepsi Rohit bhaiya sexy 
@aihsanhasan-xz2vq,ek mike use kr lo yar voice ekdam travel kr raha hai
@vikas_75,Very bad audio quality.
@mrjerry2076,99 scam
@iamalcohishan106,-
